vessel_name;Регистровый номер;Номер ИМО;Бывшее название;Позывной;Порт приписки;Флаг;Символ класса;Переоборудование/модернизация существенного характера;Основной тип;Дата постройки;Страна постройки;Строительный номер;Дата значительной части;Значительная часть;Валовая вместимость;Чистая вместимость;Дедвейт;Водоизмещение;Длина наибольшая (теоретическая);Длина габаритная;Длина расчетная;Ширина габаритная;Высота борта;Осадка;Скорость;Тип силовой установки;Главные двигатели;Количество лопастей;Общая мощность генераторов;Главные котлы;Холодильная установка;Рабочая температура;Хладагенты;Радио-навигационное оборудование;Охлаждаемые грузовые помещения;Наливные танки;Количество палуб;Количество переборок;Число пассажиров коечные;Число пассажиров бескоечных;Спецперсонал;Грузовые люки (число и размер в свету);Стрелы;Краны;Запасы топлива;Типы топлива;Водяной балласт;Подогреватели;Характеристика снабжения;Категория якорных цепей;Калибр якорных цепей;Проект судна;Дата постройки (первое освидетельствование);Место постройки;Длина конструктивная;Ширина конструктивная;Высота надводного борта;Грузоподъемность;Количество поперечных переборок;Количество продольных переборок;Пассажировместимость;Экипаж;Орг. группа;Количество наливных танков;Суммарный объем наливных танков;Грузоподъемность первой стрелы;Грузоподъемность второй стрелы;Грузоподъемность третьей стрелы;Материал корпуса;Материал надстройки;Марка главной силовой установки;ГЭД, всего;ГЭД, кВт всех;ГЭС, кВт всех;Завод постройки;Город постройки;Завод достройки;Город достройки;Заложено;Спущено на воду;Построено;Владелец;Оператор;Регистрация;Бортовой номер;MMSI;Текущее состояние;Примечания;Количество движителей;Тип движителей;Количество ГЭД;Общая мощность ГЭД;Количество грузовых трюмов;Кубатура грузовых трюмов;Количество контейнеров;Тип контейнеров;Источник
;92334;;;;;;;;;;;;;;32.0;0.0;17.0;44.0;;21.0;;3.0;2.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;РВН-376;01.07.1972;Сосновка;19.0;3.0;0.0;15.0;0;6;0;12;0.0;0;0.0;0.0;0.0;0.0;Сталь;ВСт3сп2;3Д6;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92386;;;;;;;;;;;;;;32.0;0.0;4.0;40.0;;21.0;;3.0;2.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;РВН-376;10.10.1972;Сосновка;19.0;3.0;1.0;0.0;6;0;0;4;0.0;0;0.0;0.0;0.0;0.0;ВМСт3сп ГОСТ 5521-67;ВМСт3сп2 ГОСТ 5521-67;8ЧСП13/14 (ЯМЗ-238М2-2);0.0;0.0;17.2;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92445;;;;;;;;;;;;;;32.0;0.0;4.0;43.0;;21.0;;3.0;2.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;РВН-376;01.07.1972;Сосновка, Сосновский СЗ;19.0;3.0;0.0;0.0;6;0;12;2;0.0;0;0.0;0.0;0.0;0.0;Ст3сп;Ст.3гр.Псп;ЯМЗ-238М2;0.0;0.0;1.2;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92456;;;;;;;;;;;;;;33.0;0.0;0.0;0.0;;21.0;;3.0;2.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;РВН-376;07.12.1972;Сосновка;19.0;3.0;0.0;0.0;6;0;8;2;0.0;0;0.0;0.0;0.0;0.0;ВСт3сп2;;ЯМЗ-238М2-4;0.0;0.0;2.1;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92460;;;;;;;;;;;;;;33.0;0.0;1.0;30.0;;21.0;;3.0;2.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;РВН-376У;29.11.1972;Сосновка;19.0;3.0;1.0;0.0;6;0;0;6;0.0;0;0.0;0.0;0.0;0.0;BСт3сп ГОСТ 5521-67;BСт3сп ГОСТ 5521-67;3Д6;0.0;0.0;16.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92508;;;;;;;;;;;;;;42.0;0.0;4.0;56.0;;17.0;;7.0;1.0;;;Дизельный;;;125.0;;;;;;;;;;;;;;;;;;;;;;;ЛС-41;01.07.1982;"Маймаксанский завод ""Лесосплавмаш""";14.0;7.0;0.0;4.0;5;0;0;2;0.0;0;0.0;4.0;0.0;0.0;Сталь;Сталь;ЯМЗ-238;0.0;0.0;61.2;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92510;;;;;;;;;;;;;;85.0;0.0;135.0;180.0;;30.0;;7.0;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;РЕГК.07180/Р146;01.07.1982;г. Уфа;26.0;7.0;0.0;135.0;5;2;30;0;0.0;0;0.0;0.0;0.0;0.0;ВСт3сп2;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92519;;;;;;;;;;;;;;429.0;0.0;80.0;512.0;;57.0;;12.0;2.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;943;01.07.1970;РЭБ им. Октябрьской Революции, Уфа;55.0;12.0;1.0;80.0;6;0;0;0;0.0;0;0.0;10.0;0.0;0.0;Сталь РСА,РСВ по ГОСТ;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92523;;;;;;;;;;;;;;595.0;0.0;1000.0;1251.0;;66.0;;14.0;2.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;018/03-942;27.12.1972;г. Пермь;63.0;14.0;0.0;1000.0;4;1;0;0;0.0;0;0.0;0.0;0.0;0.0;ВСт3сп по ГОСТ 5521-67;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;92524;;;;;;;;;;;;;;595.0;0.0;1000.0;1248.0;;66.0;;14.0;2.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;РЕГК.07325/942;05.07.1973;г. Пермь;63.0;14.0;0.0;1000.0;4;1;0;0;0.0;0;0.0;0.0;0.0;0.0;ВСт3сп2;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
