vessel_name;Регистровый номер;Номер ИМО;Бывшее название;Позывной;Порт приписки;Флаг;Символ класса;Переоборудование/модернизация существенного характера;Основной тип;Дата постройки;Страна постройки;Строительный номер;Дата значительной части;Значительная часть;Валовая вместимость;Чистая вместимость;Дедвейт;Водоизмещение;Длина наибольшая (теоретическая);Длина габаритная;Длина расчетная;Ширина габаритная;Высота борта;Осадка;Скорость;Тип силовой установки;Главные двигатели;Количество лопастей;Общая мощность генераторов;Главные котлы;Холодильная установка;Рабочая температура;Хладагенты;Радио-навигационное оборудование;Охлаждаемые грузовые помещения;Наливные танки;Количество палуб;Количество переборок;Число пассажиров коечные;Число пассажиров бескоечных;Спецперсонал;Грузовые люки (число и размер в свету);Стрелы;Краны;Запасы топлива;Типы топлива;Водяной балласт;Подогреватели;Характеристика снабжения;Категория якорных цепей;Калибр якорных цепей;Проект судна;Дата постройки (первое освидетельствование);Место постройки;Длина конструктивная;Ширина конструктивная;Высота надводного борта;Грузоподъемность;Количество поперечных переборок;Количество продольных переборок;Пассажировместимость;Экипаж;Орг. группа;Количество наливных танков;Суммарный объем наливных танков;Грузоподъемность первой стрелы;Грузоподъемность второй стрелы;Грузоподъемность третьей стрелы;Материал корпуса;Материал надстройки;Марка главной силовой установки;ГЭД, всего;ГЭД, кВт всех;ГЭС, кВт всех;Завод постройки;Город постройки;Завод достройки;Город достройки;Заложено;Спущено на воду;Построено;Владелец;Оператор;Регистрация;Бортовой номер;MMSI;Текущее состояние;Примечания;Количество движителей;Тип движителей;Количество ГЭД;Общая мощность ГЭД;Количество грузовых трюмов;Кубатура грузовых трюмов;Количество контейнеров;Тип контейнеров;Источник
;245553;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;11.0;;3.0;1.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Б/проекта;01.07.2011;;0.0;0.0;1.0;0.0;1;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь;;Д-144;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
Печора;245559;;;;Санкт-Петербург  ;;Р1,2А;;;;;09;;;47.0;0.0;6.0;37.0;;20.0;;5.0;1.0;;;Дизельный;;;120.0;;;;;;;;;;;;;;;;;;;;;;;2105;03.04.2017;"ООО ""РУСКОР"", Новая Ладога";19.0;4.0;0.0;0.0;4;0;50;2;0.0;2;3.0;0.0;0.0;0.0;Сталь, РСВ 52927-08;Сталь, стекло триплекс;ЯМЗ-238ГМ2-2бр;0.0;0.0;2.4;ООО «Рускор»; Новая Ладога;;;;;2017-04-03;;;РКО (РРР до 2022);СЗ-20-52;273394130; Эксплуатируется ;;;;;;;;;;Fleetphoto и Речной регистр
Барселона;245560;;;;Санкт-Петербург  ;;Р1,2А;;;;;10;;;47.0;0.0;6.0;37.0;;20.0;;5.0;1.0;;;Дизельный;;;120.0;;;;;;;;;;;;;;;;;;;;;;;2105;10.04.2017;"ООО ""РУСКОР"", Новая Ладога";19.0;4.0;0.0;0.0;4;0;50;2;0.0;2;3.0;0.0;0.0;0.0;Сталь, РСВ ГОСТ 55927-08;Сталь РСВ;ЯМЗ 238ГМ2-2бр;0.0;0.0;2.4;ООО «Рускор»; Новая Ладога;;;;;2017-04-10;;;РКО (РРР до 2022);СЗ-20-53;273298240; Эксплуатируется ;"Размеры
Валовая вместимость (регистровые тонны) 	47.07
Чистая вместимость (регистровые тонны) 	0
Длина габритная (м) 	20.74
Ширина габаритная (м) 	5.43
Ширина конструктивная (м) 	4.85
Высота борта (м) 	1.3
Надводный борт (м) 	0.79
Дедвейт (т) 	
Водоизмещение (т) 	37.53
Осадка ГВЛ (м) 	0.51";;;;;;;;;Fleetphoto и Речной регистр
;245561;;;;;;;;;;;;;;0.0;0.0;0.0;1.0;;1.0;;7.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;ЛПТ-7;01.07.1978;Свирицкий порт, Свирица;6.0;1.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь Ст3сп5;;Л-6;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245563;;;;;;;;;;;;;;5.0;0.0;2.0;5.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127;01.07.1993;Новая Ладога;8.0;2.0;0.0;2.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь Ст3Сп5;;4ЧСП 8,5/11;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245565;;;;;;;;;;;;;;0.0;0.0;0.0;2.0;;8.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Камчатка;01.07.2015;Псков;0.0;0.0;0.0;1.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;стеклопластик;;Suzuki;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245570;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;8.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Камчатка;01.07.2012;Псков;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;стеклопластик;;Sea pro T40;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245572;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;7.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;1424;01.07.1965;Ейск;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;стеклопластик;;Mercury;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245574;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс 4;01.07.1980;;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;алюминиевый сплав;;Evinrude 30 BE30 ELСО;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
Мистраль;245575;;;;Санкт-Петербург  ;;Р1,2;;;;;;;;16.0;0.0;0.0;19.0;;14.0;;3.0;0.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;б/п;01.07.2011;Шлиссельбург;14.0;3.0;0.0;0.0;3;0;0;2;35.0;0;0.0;0.0;0.0;0.0;сталь;;;0.0;0.0;0.0;ООО «Невский ССРЗ»; Шлиссельбург;;;;;2011-01-01;;;РКО (РРР до 2022);;; Эксплуатируется ;;;;;;;;;;Fleetphoto и Речной регистр
;245578;;;;;;;;;;;;;;0.0;0.0;0.0;2.0;;7.0;;2.0;1.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;LG750HD;01.07.2013;Changzhou, КНР;6.0;2.0;0.0;0.0;2;0;11;1;0.0;0;0.0;0.0;0.0;0.0;стеклопластик;стеклопластик;Suzuki;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
Ветерок;245585;;;;Калининград  ;;Р мс 0,6;;;;;CIN:RU-ASTRT001Н313;;;0.0;0.0;0.0;3.0;;10.0;;3.0;1.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;RT29;01.07.2013;Сима, Владимирская область;9.0;2.0;0.0;0.0;6;0;11;1;0.0;0;0.0;0.0;0.0;0.0;Стеклопластик, АМГ;АМГ;Mercury (подвесной мотор);0.0;0.0;0.0;ООО «Компания АСТЕР»; Сима;;;;;2013-01-01;;;РКО (РРР до 2022);;; Эксплуатируется ;"Длина габритная: 10.23 м
Ширина габаритная: 3.03 м
Ширина конструктивная: 2.76 м
Высота борта: 1.080 м
Надводный борт: 0.600 м
Водоизмещение: 3.99 т
Осадка ГВЛ: 0.480 м
Количество пассажиров: 12 человек";;;;;;;;;Fleetphoto и Речной регистр
;245587;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;5.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Касатка 520;01.01.2017;Приморско-Ахтарск;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;стеклопластик;;Yamaha Е115АЕТ (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245588;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;5.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Касатка 520;01.01.2017;Приморско-Ахтарск;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;стеклопластик;;Меркурий (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245589;;;;;;;;;;;;;;0.0;0.0;0.0;2.0;;5.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Amber 600/240;01.01.2017;Латвия;0.0;0.0;0.0;1.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;стеклопластик;;Ямаха F100AET (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245591;;;;;;;;;;;;;;0.0;0.0;0.0;5.0;;9.0;;2.0;1.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Conrad 900M;01.07.1986;Гданьск, Польша;0.0;0.0;0.0;0.0;2;0;10;2;0.0;0;0.0;0.0;0.0;0.0;стеклопластик;;PUCR 96;0.0;0.0;0.8;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245592;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;5.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Вельбот 53;01.07.2016;Никольское;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АмГ-5М;;Mercury F115 (подвесной мотор);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245593;;;;;;;;;;;;;;0.0;0.0;0.0;1455.0;;5.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;GRAND S 520;01.07.2013;Украина;0.0;0.0;0.0;0.0;0;0;7;1;0.0;0;0.0;0.0;0.0;0.0;надувное, пластиковое дно;;Yamaha F80DETL (подвесной мотор);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245594;;;;;;;;;;;;;;0.0;0.0;0.0;1.0;;5.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;GRAND S 520;01.07.2011;Украина;0.0;0.0;0.0;0.0;0;0;7;1;0.0;0;0.0;0.0;0.0;0.0;надувное, пластиковое дно;;Honda BF90 (подвесной);0.0;0.0;0.2;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245597;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Казанка-5М2;01.07.1980;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д1;;Yamaha;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245598;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1978;Россия;0.0;0.0;0.0;0.0;2;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д16АТ;;Yamaha;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245599;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;5.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Казанка-2М;01.07.1982;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д1;;Yamaha;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245600;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1975;Россия;0.0;0.0;0.0;0.0;2;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д16АТ;;Yamaha;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245601;;;;;;;;;;;;;;0.0;0.0;0.0;11.0;;11.0;;3.0;1.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;102Б;01.07.1986;;10.0;3.0;0.0;1.0;3;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь;сталь;Д-240;0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245602;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;38.0;;;;;;;;;;;;;;;;;;;;;;;Прогресс-4;01.07.1986;Россия;0.0;0.0;0.0;0.0;2;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д16АТ;;Yamaha;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245603;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Казанка-5;01.07.1985;Россия;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Д1;;Yamaha;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245604;;;;;;;;;;;;;;5.0;0.0;0.0;5.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127 (ЛПТ-9);01.07.1993;Новая Ладога;8.0;2.0;0.0;1.0;4;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Ст.3Сп.5;;4ЧСП 8,5/11;0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245605;;;;;;;;;;;;;;5.0;0.0;0.0;5.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127 (ЛПТ-9);01.07.1993;Новая Ладога;8.0;2.0;0.0;1.0;4;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь 3Сп.5;;4ЧСП 8,5/11;0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245606;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;8.0;;2.0;1.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;RINKER FIESTA VEE240;01.01.1997;США;0.0;0.0;0.0;0.0;0;0;8;1;0.0;0;0.0;0.0;0.0;0.0;Стеклопластик;;GENERAL MOTORS 4.3LG;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245607;;;;;;;;;;;;;;0.0;0.0;0.0;6.0;;12.0;;3.0;1.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;CALYPSO 40 CC;01.07.2021;Российская Федерация;0.0;0.0;0.0;0.0;0;0;11;1;0.0;0;0.0;0.0;0.0;0.0;Стеклопластик;;MERCRUISER 6,2;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245608;;;;;;;;;;;;;;0.0;0.0;0.0;5.0;;9.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;б/п;01.07.2000;Свирица;8.0;2.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь Ст3Сп5;;Mersedes;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245609;;;;;;;;;;;;;;5.0;0.0;0.0;5.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127;01.07.1992;Новая Ладога;8.0;2.0;0.0;2.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь, Ст3;;ДТ37 (4Ч10,5/12);0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;24561;;;;;;;;;;;;;;19.0;0.0;7.0;42.0;;14.0;;3.0;2.0;;;Дизельный;;;110.0;;;;;;;;;;;;;;;;;;;;;;;378;28.08.1957;г. Красноярск;13.0;3.0;0.0;0.0;6;0;0;4;0.0;0;0.0;0.0;0.0;0.0;Ст3сп ГОСТ 5521-50;Ст3сп ГОСТ 5521-50;3Д6;0.0;0.0;2.4;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245610;;;;;;;;;;;;;;6.0;0.0;4.0;5.0;;9.0;;2.0;1.0;;;Бензиновый;;;17.0;;;;;;;;;;;;;;;;;;;;;;;СШАМ-51;01.07.1980;Ленинград;8.0;2.0;0.0;3.0;0;0;20;0;0.0;0;0.0;0.0;0.0;0.0;алюминий, Амг5М;;4ЧСП8,5/11;0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
Прп-15-4;245611;;;;Санкт-Петербург  ;;Р1,2 I;;;;;5;;;35.0;0.0;3.0;18.0;;15.0;;5.0;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;НТК15;13.06.2017;"ООО ""РУСКОР"", Новая Ладога";14.0;5.0;0.0;0.0;3;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Сталь РСВ ГОСТ 52927-08;;;0.0;0.0;0.0;ООО «Рускор»; Новая Ладога;;;;;2017-06-13;;;РКО (РРР до 2022);;; Эксплуатируется ;;;;;;;;;;Fleetphoto и Речной регистр
;245612;;;;;;;;;;;;;;0.0;0.0;0.0;1.0;;9.0;;2.0;1.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;б/п;01.07.1993;Новая Ладога;8.0;2.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;;;ВАЗ-21011 (4Ч8/7,9);0.0;0.0;1.5;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245613;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Казанка-5М4;01.07.1993;Лениногорск;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;Дюралюминий;;HONDA BF30DU-SHGV (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245614;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Казанка-5М1;01.07.1978;Лениногорск;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;дюралюминий;;SUZUKI DT30RS (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
Илион;245615;;;;Санкт-Петербург  ;;Р1,2А;;;;;1;;;45.0;0.0;5.0;28.0;;20.0;;4.0;1.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;82880;03.05.2017;"СПб ГУП ""Экострой"", Санкт-Петербург";20.0;4.0;0.0;0.0;4;0;50;2;0.0;0;1.0;0.0;0.0;0.0;сталь;сталь;DD6BR (6ЧНП 11,8/11,5);0.0;0.0;30.0;СПБ ГУП «Экострой»; Санкт-Петербург;;;;;2017-05-03;;;РКО (РРР до 2022);СЗ-20-57;273395340; Эксплуатируется ;"Длина: 21 м
Ширина: 5 м";;;;;;;;;Fleetphoto и Речной регистр
Афродита;245616;;;;Санкт-Петербург  ;;Р1,2А;;;;;;;;27.0;0.0;0.0;19.0;;16.0;;4.0;1.0;;;Дизельный;;;59.0;;;;;;;;;;;;;;;;;;;;;;;б/п;01.07.2009;Шлиссельбург;14.0;3.0;0.0;0.0;4;0;40;2;0.0;0;0.0;0.0;0.0;0.0;металл;металл;СД 140.0.01;0.0;0.0;1.5;(Rus); (Россия);;;;;2009-07-01;;;РКО (РРР до 2022);СЗ-20-55;273391530; Эксплуатируется ;"Место постройки: Шлиссельбург
Валовая вместимость: 27 рег. т
Длина габритная: 16.4 м
Ширина габаритная: 4.1 м
Ширина конструктивная: 3.38 м
Высота борта: 1.35 м
Надводный борт: 0.535 м
Водоизмещение: 19.85 м
Осадка ГВЛ: 0.815 м";;;;;;;;;Fleetphoto и Речной регистр
Афродита;245616;;;;Санкт-Петербург  ;;Р1,2А;;;;;;;;27.0;0.0;0.0;19.0;;16.0;;4.0;1.0;;;Дизельный;;;59.0;;;;;;;;;;;;;;;;;;;;;;;б/п;01.07.2009;Шлиссельбург;14.0;3.0;0.0;0.0;4;0;40;2;0.0;0;0.0;0.0;0.0;0.0;металл;металл;СД 140.0.01;0.0;0.0;1.5;(Rus); (Россия);;;;;2009-07-01;;;РКО (РРР до 2022);СЗ-20-55;273391530; Эксплуатируется ;"Место постройки: Шлиссельбург
Валовая вместимость: 27 рег. т
Длина габритная: 16.4 м
Ширина габаритная: 4.1 м
Ширина конструктивная: 3.38 м
Высота борта: 1.35 м
Надводный борт: 0.535 м
Водоизмещение: 19.85 м
Осадка ГВЛ: 0.815 м";;;;;;;;;Fleetphoto и Речной регистр
Нептун-10;245620;;;;Якутск  ;;Р1,2/1,2 СВП;;;;;10;;;11.0;0.0;2.0;5.0;;11.0;;4.0;0.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Nep23;13.06.2017;"ООО ""Ховеркрафт"", Подпорожье";11.0;1.0;0.0;0.0;6;0;11;1;0.0;0;0.0;0.0;0.0;0.0;АМг5М по ГОСТ 21631-76;стеклопластик;Cummins ISF2,8s 318T;0.0;0.0;2.0;"ООО «Судостроительная компания ""Нептун"" / ""Ховеркрафт""»"; Подпорожье;;;;;2017-06-13;;;РКО (РРР до 2022);;; Эксплуатируется ;;;;;;;;;;Fleetphoto и Речной регистр
Полярник;245621;;;UBUQ7;Котлас  ;;+Р1,2/1,2СВП;;;;;11;;;11.0;0.0;2.0;5.0;;11.0;;4.0;0.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Nep23;01.07.2017;"ООО ""Ховеркрафт"", Подпорожье";11.0;1.0;0.0;0.0;6;0;18;2;0.0;0;0.0;0.0;0.0;0.0;АМг5М;композит;FTP S30ENT29C29;0.0;0.0;4.0;"ООО «Судостроительная компания ""Нептун"" / ""Ховеркрафт""»"; Подпорожье;;;;;2017-01-01;;;РКО (РРР до 2022);ДП-19-2195;273391260; Эксплуатируется ;"Длина х ширина: 11,9 х 4,7 м
Корпус: АМг5М клёпанный
Экипаж 2 чел., пассажиров 18 чел.
Двигатели:  2 х 100 кВт Cummins ISF2,8s2148T
Движители: два воздушных винта изменяемого шага 1550 об/мин";;;;;;;;;Fleetphoto и Речной регистр
Онега;245622;;;;Санкт-Петербург  ;;Р1,2/1,2 СВП;;;;;09;;;0.0;0.0;0.0;6.0;;11.0;;4.0;0.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Nep23GpPasML;15.08.2017;"ООО ""Ховеркрафт"", Подпорожье";11.0;1.0;0.0;1.0;7;0;6;2;0.0;0;0.0;0.0;0.0;0.0;АМг5;;Cummins ISF 2,8S;0.0;0.0;3.4;"ООО «Судостроительная компания ""Нептун"" / ""Ховеркрафт""»"; Подпорожье;;;;;2017-08-15;;;РКО (РРР до 2022);;273399250; Эксплуатируется ;Проект: Nep23GpPasML;;;;;;;;;Fleetphoto и Речной регистр
;245623;;;;;;;;;;;;;;0.0;0.0;2.0;2.0;;9.0;;4.0;0.0;;;Дизельный;;;0.0;;;;;;;;;;;;;;;;;;;;;;;120мс;01.01.2017;Подпорожье;9.0;1.0;0.0;1.0;5;0;11;1;0.0;0;0.0;0.0;0.0;0.0;АМг5м;стеклопластик;Cammins ISF 2,8Ы3129N003;0.0;0.0;6.8;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245624;;;;;;;;;;;;;;0.0;0.0;0.0;5.0;;9.0;;2.0;1.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;СШАМ-51;01.07.1983;Ленинград;8.0;2.0;0.0;3.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;алюминий, АМг5М;;4ЧСП 8,5/11;0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245625;;;;;;;;;;;;;;0.0;0.0;0.0;5.0;;9.0;;2.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;27127;01.07.1996;Новая Ладога;8.0;2.0;0.0;2.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь Ст3Сп5;;4ЧСП8,5/11;0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245626;;;;;;;;;;;;;;5.0;0.0;0.0;5.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127;01.07.1989;Новая Ладога;8.0;2.0;0.0;2.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь, Ст3;;Д21А (2Ч10,5/12);0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245627;;;;;;;;;;;;;;5.0;0.0;0.0;5.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127;01.07.1987;Новая Ладога;8.0;2.0;0.0;2.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь, Ст3;;4ЧСП 8,5/11;0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245628;;;;;;;;;;;;;;5.0;0.0;0.0;5.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127;01.07.1999;Новая Ладога;8.0;2.0;0.0;2.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь, Ст3;;Д21А (2Ч10,5/12);0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245629;;;;;;;;;;;;;;5.0;0.0;0.0;5.0;;9.0;;2.0;0.0;;;Дизельный;;;18.0;;;;;;;;;;;;;;;;;;;;;;;27127;01.07.1989;Новая Ладога;8.0;2.0;0.0;2.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;сталь, Ст3;;Д21А (2Ч10,5/12);0.0;0.0;1.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245632;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;4.0;;1.0;1.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;455 Coast Runner;01.07.2009;Воронеж;0.0;0.0;0.0;0.0;0;0;4;1;0.0;0;0.0;0.0;0.0;0.0;АМг;;MERCURY 50 (подвесной);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
;245633;;;;;;;;;;;;;;0.0;0.0;0.0;0.0;;5.0;;1.0;0.0;;;Бензиновый;;;0.0;;;;;;;;;;;;;;;;;;;;;;;Вельбот 53;01.07.2015;Никольское;0.0;0.0;0.0;0.0;0;0;0;0;0.0;0;0.0;0.0;0.0;0.0;АмГ-5М;;Suzuki Df100 (подвесной мотор);0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;Речной регистр
